# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1602665352
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-28.286,0.951095,0.551495,2,7,0,29.8735,0.351234
-29.527,0.779002,0.884624,2,3,0,31.0807,0.115703
-29.6994,0.980177,0.861143,1,1,0,29.81,0.0937336
-28.6784,1,1.48315,2,3,0,29.4529,0.251016
-28.0867,1,2.6763,1,1,0,28.2743,0.46117
-28.0867,0.1358,4.78182,1,3,0,28.0875,0.46117
-28.2398,0.979452,0.777956,1,3,0,28.3643,0.368065
-29.7313,0.729697,1.31485,1,3,0,29.7622,0.0897919
-29.1511,1,1.11799,2,3,0,29.7004,0.168688
-29.1511,0.179709,1.97406,2,3,0,30.9398,0.168688
-29.4075,0.99205,0.38584,2,3,0,29.5839,0.131711
-29.3702,1,0.666621,1,1,0,29.4799,0.136848
-28.097,0.934756,1.16577,1,3,0,29.8605,0.54467
-28.097,0.337611,1.70441,1,1,0,29.3973,0.54467
-28.1073,0.997026,0.528031,2,5,0,28.2352,0.439124
-28.1049,1,0.905949,1,1,0,28.1101,0.441245
-28.125,0.99747,1.55318,2,3,0,28.1265,0.568203
-28.0743,1,2.62415,1,1,0,28.0881,0.501819
-28.0743,0.0196515,4.42678,1,1,0,28.1942,0.501819
-28.1308,0.998315,0.643528,3,7,0,28.1308,0.572099
-28.4845,0.953836,1.08369,2,3,0,28.599,0.699342
-28.2362,1,1.62359,1,1,0,28.4333,0.624113
-28.2362,0.330016,2.70654,1,1,0,28.2999,0.624113
-28.2375,0.963242,0.883873,2,3,0,28.719,0.624626
-28.0741,0.999359,1.34456,1,3,0,28.2214,0.493756
-28.0741,0.176917,2.21663,1,1,0,28.8101,0.493756
-28.0763,0.998917,0.515549,3,7,0,28.12,0.48163
-28.1248,0.996064,0.848602,2,3,0,28.1249,0.42551
-28.0829,0.985295,1.37821,2,3,0,28.2136,0.526662
-31.23,0.0983617,2.1689,1,1,0,31.5274,1.05843
-31.1148,1,0.436859,1,1,0,31.2718,1.04809
-30.4464,1,0.712032,2,3,0,31.0787,0.983742
-29.8242,1,1.15323,1,1,0,30.533,0.915041
-28.805,1,1.85637,1,1,0,29.7011,0.767081
-28.1638,1,2.97039,1,1,0,28.5102,0.591539
-28.1638,2.51221e-13,4.72529,1,1,0,29.7376,0.591539
-28.1433,1,0.806593,1,1,0,28.1632,0.580035
-28.126,0.96859,1.28578,2,3,0,28.3742,0.424716
-29.1479,0.657494,1.90207,2,3,0,29.2071,0.169171
-28.2058,1,1.41822,1,3,0,28.8514,0.381998
-28.0748,1,2.23442,1,1,0,28.1134,0.505533
-28.1343,0.892011,3.50175,1,1,0,28.2027,0.574394
-28.6455,0.0743367,4.32847,1,3,1,29.6513,0.257783
-28.5514,0.994223,0.929242,3,7,0,28.8147,0.715229
-28.5514,0.666372,1.43438,1,1,0,29.4433,0.715229
-29.149,0.892608,1.10161,1,1,0,29.1521,0.82458
-30.3053,0.713468,1.36528,1,1,0,30.453,0.969032
-28.106,0.963688,1.16049,1,3,0,30.3966,0.553356
-28.7565,0.754446,1.66289,1,1,0,28.7592,0.75797
-28.9121,0.981295,1.53934,2,3,0,29.1468,0.786212
-28.5986,1,2.27484,1,1,0,29.1736,0.725762
-28.5986,1.53671e-21,3.47872,1,1,0,29.8319,0.725762
-28.6367,0.99716,0.690253,1,1,0,28.6615,0.733934
-28.5879,1,1.05115,1,1,0,28.7023,0.723418
-28.0908,1,1.60303,1,3,0,28.3878,0.537701
-28.3886,0.758491,2.43422,1,1,0,28.4217,0.319478
-28.8974,0.801816,2.27231,1,3,0,28.8974,0.783662
-28.4482,1,2.31333,1,1,0,28.9689,0.690182
-28.4482,0.0106356,3.48461,1,3,1,28.4556,0.690182
-28.4243,0.967148,0.74559,2,5,0,29.1442,0.309687
-28.3369,1,1.05451,2,7,0,28.4094,0.658878
-29.8444,0.451176,1.5848,2,3,0,31.5435,0.0761365
-29.6919,1,0.817687,2,3,0,29.9441,0.094659
-29.987,0.932925,1.22552,1,1,0,30.2965,0.0595199
-29.0666,1,1.60838,1,1,0,29.9465,0.181816
-28.8181,1,2.39401,1,3,0,28.8448,0.769496
-28.2109,1,3.55046,1,1,0,28.6942,0.613766
-28.2109,2.47514e-56,5.2468,1,1,0,28.615,0.613766
-28.2881,0.926046,1.16845,2,7,0,28.7592,0.3505
-28.7999,0.834037,1.50453,1,1,0,28.8325,0.227432
-28.5051,1,1.627,2,3,0,28.7877,0.704366
-28.4885,1,2.39574,1,1,0,28.8695,0.700332
-28.4885,1.17455e-29,3.51588,1,1,0,30.607,0.700332
-28.5062,0.99819,0.809707,1,1,0,28.5421,0.704619
-28.1167,0.961242,1.18579,1,3,0,28.7947,0.431494
-28.4026,0.416918,1.61757,2,3,0,30.9908,0.315558
-28.3354,0.937019,0.8147,3,7,0,29.8467,0.335167
-28.0771,0.924228,1.06227,2,3,0,29.0578,0.479096
-28.1046,0.883985,1.35037,2,3,0,28.7406,0.441489
-28.1155,0.998563,1.59324,2,3,0,28.1266,0.432414
-28.0925,1,2.30619,1,1,0,28.1184,0.453862
-28.1041,0.548359,3.33678,1,3,0,28.1167,0.551663
-28.106,0.960854,2.15244,2,3,0,28.1283,0.553356
-28.106,0.00375483,2.8974,1,1,0,28.7062,0.553356
-28.0974,0.998512,0.716279,2,3,0,28.136,0.545129
-28.0973,1,1.03222,1,1,0,28.1012,0.545007
-29.252,0.737297,1.48717,1,3,0,29.2755,0.839915
-28.5308,1,1.34986,1,1,0,29.0848,0.71045
-30.8521,0.498473,1.9373,1,3,0,30.9144,-0.0301591
-29.4242,1,1.16152,1,1,0,30.5975,0.129429
-29.4242,0.0524503,1.66329,1,1,0,33.6308,0.129429
-31.0908,0.977813,0.464584,4,15,0,31.4281,1.04591
-30.9849,1,0.640833,1,1,0,31.2283,1.03618
-28.1549,1,0.915923,3,7,0,30.6292,0.58668
-28.5123,0.933364,1.30566,1,3,0,28.5128,0.70608
-28.5123,0.263997,1.6579,2,3,0,32.461,0.70608
-29.6432,0.906375,0.677445,1,3,0,30.2293,0.892815
-29.9547,0.967529,0.822403,1,1,0,30.0244,0.930352
-29.9547,0.933314,1.1048,1,1,0,30.5076,0.930352
-28.2141,0.921313,1.39864,1,3,0,30.0897,0.378472
-28.2537,0.988582,1.73263,2,3,0,28.3353,0.630787
-28.2537,0.0607692,2.39665,1,1,0,28.8586,0.630787
-28.1554,0.996558,0.711396,3,7,0,28.4143,0.406612
-28.3439,0.984249,0.997816,3,7,0,28.3683,0.661025
-28.5945,0.929119,1.36831,1,1,0,28.6363,0.724884
-28.6607,0.970115,1.71052,1,1,0,28.8967,0.738953
-28.1063,1,2.283,1,1,0,28.2366,0.439977
-28.1063,0.00168473,3.19286,1,1,0,29.0095,0.439977
-28.0938,0.9878,0.881062,1,3,0,28.2622,0.541284
-29.1399,0.797282,1.20914,1,3,0,29.3313,0.823182
-28.5581,1,1.21783,1,1,0,29.0267,0.716742
-28.2759,0.755804,1.69903,2,3,0,29.2566,0.354737
-28.0947,1,1.59925,1,1,0,28.2052,0.451274
-28.491,0.735566,2.22436,1,1,0,28.5054,0.700934
-28.4043,0.815467,2.02625,2,3,0,28.6595,0.678468
-31.1967,0.146196,2.09657,1,1,0,31.756,1.05546
-31.0831,1,0.752039,1,1,0,31.409,1.04521
